Scaling parameters by 0.62 to account for a batch size of 5.
Per-GPU batch size is less than the recommended limit for batch norm. Disabling batch norm.
loading annotations into memory...
Done (t=10.04s)
creating index...
index created!
loading annotations into memory...
Done (t=1.21s)
creating index...
index created!
Resuming training, loading weights/yolact_im700_54_800000.pth...
Ignoring "Error(s) in loading state_dict for Yolact:
	size mismatch for prediction_layers.0.conf_layer.weight: copying a param with shape torch.Size([243, 256, 3, 3]) from checkpoint, the shape in current model is torch.Size([6, 256, 3, 3]).
	size mismatch for prediction_layers.0.conf_layer.bias: copying a param with shape torch.Size([243]) from checkpoint, the shape in current model is torch.Size([6]).
	size mismatch for semantic_seg_conv.weight: copying a param with shape torch.Size([80, 256, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 256, 1, 1]).
	size mismatch for semantic_seg_conv.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1])."
Begin training!

[  0]     470 || B: 0.789 | C: 1.090 | M: 0.565 | S: 0.048 | T: 2.492 || ETA: 4 days, 11:45:03 || timer: 0.305
[  0]     480 || B: 0.870 | C: 1.141 | M: 0.582 | S: 0.049 | T: 2.643 || ETA: 4 days, 11:45:51 || timer: 0.303
[  0]     490 || B: 0.842 | C: 1.108 | M: 0.592 | S: 0.049 | T: 2.590 || ETA: 4 days, 11:46:29 || timer: 0.306
[  0]     500 || B: 0.851 | C: 1.079 | M: 0.592 | S: 0.052 | T: 2.574 || ETA: 4 days, 11:47:24 || timer: 0.309
[  0]     510 || B: 0.833 | C: 1.080 | M: 0.592 | S: 0.051 | T: 2.556 || ETA: 4 days, 11:48:57 || timer: 0.303
[  0]     520 || B: 0.869 | C: 1.092 | M: 0.593 | S: 0.052 | T: 2.606 || ETA: 4 days, 11:49:26 || timer: 0.308
[  0]     530 || B: 0.812 | C: 1.050 | M: 0.606 | S: 0.052 | T: 2.521 || ETA: 4 days, 11:49:54 || timer: 0.305
[  0]     540 || B: 0.777 | C: 1.016 | M: 0.589 | S: 0.052 | T: 2.434 || ETA: 4 days, 11:50:28 || timer: 0.303
[  0]     550 || B: 0.759 | C: 1.019 | M: 0.563 | S: 0.051 | T: 2.392 || ETA: 4 days, 11:51:26 || timer: 0.309
[  0]     560 || B: 0.718 | C: 0.963 | M: 0.534 | S: 0.050 | T: 2.265 || ETA: 4 days, 11:51:21 || timer: 0.303
[  0]     570 || B: 0.677 | C: 0.959 | M: 0.516 | S: 0.049 | T: 2.201 || ETA: 4 days, 11:52:16 || timer: 0.306
[  0]     580 || B: 0.616 | C: 0.924 | M: 0.497 | S: 0.045 | T: 2.082 || ETA: 4 days, 11:52:57 || timer: 0.303
[  0]     590 || B: 0.636 | C: 0.934 | M: 0.492 | S: 0.044 | T: 2.107 || ETA: 4 days, 11:53:34 || timer: 0.306
[  0]     600 || B: 0.611 | C: 0.938 | M: 0.470 | S: 0.041 | T: 2.059 || ETA: 4 days, 11:54:26 || timer: 0.304
